date,ticker,open,high,low,close,volume,ma_20,ma_50,ma_200,daily_ret,volatility,rsi_14,macd,signal,bb_mid,bb_upper,bb_lower,mkt_cap_M
2019-01-01,TECHCO,154.6,155.37,154.11,154.59,2139146,,,,,,,0.0,0.0,,,,252755.0
2019-01-02,TECHCO,155.88,158.7,155.73,156.72,1415347,,,,0.013778,,,0.0478,0.0266,,,,256237.0
2019-01-03,TECHCO,158.37,158.65,155.22,156.28,2643287,,,,-0.002808,,,0.0472,0.035,,,,255518.0
2019-01-04,TECHCO,157.95,159.86,155.57,155.98,1952218,,,,-0.00192,,,0.035,0.035,,,,255027.0
2019-01-07,TECHCO,157.06,160.23,155.46,158.63,2484691,,,,0.016989,,,0.1331,0.0642,,,,259360.0
2019-01-08,TECHCO,159.97,163.69,159.52,162.03,1605282,,,,0.021434,,,0.3349,0.1376,,,,264919.0
2019-01-09,TECHCO,154.28,155.1,153.72,154.82,3282791,,,,-0.044498,,,0.132,0.1362,,,,253131.0
2019-01-10,TECHCO,150.43,151.9,150.02,151.35,4055379,,,,-0.022413,,,-0.1713,0.0623,,,,247457.0
2019-01-11,TECHCO,153.94,155.6,151.38,152.69,2866965,,,,0.008854,,,-0.3122,-0.0242,,,,249648.0
2019-01-14,TECHCO,153.54,154.75,152.63,153.08,2317880,,,,0.002554,,,-0.3875,-0.1056,,,,250286.0
2019-01-15,TECHCO,154.26,157.3,151.25,156.06,2929926,,,,0.019467,,,-0.2777,-0.1433,,,,255158.0
2019-01-16,TECHCO,159.77,164.47,159.05,160.71,3032199,,,,0.029796,,,0.0619,-0.0992,,,,262761.0
2019-01-17,TECHCO,156.1,158.58,155.56,156.62,3090380,,,,-0.02545,,,0.082,-0.0609,,,,256074.0
2019-01-18,TECHCO,153.91,156.49,153.45,155.97,1197923,,,,-0.00415,,,0.0583,-0.0359,,,,255011.0
2019-01-21,TECHCO,158.05,161.46,157.92,159.4,1488514,,,,0.021991,,56.48,0.2432,0.0219,,,,260619.0
2019-01-22,TECHCO,162.21,163.3,160.39,161.96,792701,,,,0.01606,,56.98,0.5357,0.1277,,,,264805.0
2019-01-23,TECHCO,161.92,162.58,160.57,160.89,3137448,,,,-0.006607,,56.04,0.6859,0.2419,,,,263055.0
2019-01-24,TECHCO,160.51,162.17,160.27,160.29,2309965,,,,-0.003729,,55.6,0.7547,0.3463,,,,262074.0
2019-01-25,TECHCO,162.05,164.03,161.28,163.1,1685314,,,,0.017531,,55.78,0.9787,0.4746,,,,266668.0
2019-01-28,TECHCO,160.21,161.63,159.02,161.03,1724005,157.61,,,-0.012692,,48.66,1.0045,0.5819,157.61,164.4802,150.7398,263284.0
2019-01-29,TECHCO,161.77,162.63,160.09,161.74,1090092,157.9675,,,0.004409,0.018662,61.23,1.0594,0.6783,157.9675,164.9197,151.0153,264445.0
2019-01-30,TECHCO,168.31,169.65,164.3,165.92,2395704,158.4275,,,0.025844,0.019235,73.1,1.3697,0.8176,158.4275,166.2011,150.6539,271279.0
2019-01-31,TECHCO,162.01,162.87,159.83,161.74,3593627,158.7005,,,-0.025193,0.020219,63.17,1.3101,0.9167,158.7005,166.5397,150.8613,264445.0
2019-02-01,TECHCO,156.23,159.07,155.51,157.69,1705862,158.786,,,-0.02504,0.021091,56.06,0.97,0.9274,158.786,166.5371,151.0349,257823.0
2019-02-04,TECHCO,162.07,163.16,159.23,160.59,2257889,158.884,,,0.018391,0.02115,55.97,0.8956,0.921,158.884,166.6763,151.0917,262565.0
2019-02-05,TECHCO,157.02,159.43,155.86,158.22,1729313,158.6935,,,-0.014758,0.020841,46.51,0.6608,0.8688,158.6935,166.347,151.04,258690.0
2019-02-06,TECHCO,159.11,160.71,156.41,157.31,2189158,158.818,,,-0.005751,0.018218,51.06,0.4056,0.7759,158.818,166.2849,151.3511,257202.0
2019-02-07,TECHCO,151.99,154.31,150.82,153.22,3915669,158.9115,,,-0.026,0.018476,46.17,-0.0905,0.6023,158.9115,166.023,151.8,250515.0
2019-02-08,TECHCO,150.19,152.81,148.76,152.38,1612736,158.896,,,-0.005482,0.018425,39.47,-0.5371,0.3741,158.896,166.0657,151.7263,249141.0
2019-02-11,TECHCO,153.31,154.77,151.96,154.22,1953941,158.953,,,0.012075,0.018614,38.14,-0.7459,0.1498,158.953,165.944,151.962,252150.0
2019-02-12,TECHCO,158.05,158.17,154.91,156.22,1233260,158.961,,,0.012968,0.018321,43.04,-0.754,-0.0311,158.961,165.9384,151.9836,255420.0
2019-02-13,TECHCO,158.89,159.75,158.05,158.43,3435406,158.847,,,0.014147,0.017296,47.35,-0.589,-0.1428,158.847,165.7784,151.9156,259033.0
2019-02-14,TECHCO,153.97,155.92,152.16,154.6,2956878,158.746,,,-0.024175,0.017202,38.25,-0.7368,-0.2617,158.746,165.8702,151.6218,252771.0
2019-02-15,TECHCO,153.81,153.98,152.4,153.54,2094023,158.6245,,,-0.006856,0.017243,39.35,-0.9228,-0.394,158.6245,166.0256,151.2234,251038.0
2019-02-18,TECHCO,153.47,153.68,149.7,151.81,1621842,158.245,,,-0.011267,0.016534,36.28,-1.1871,-0.5527,158.245,166.2337,150.2563,248209.0
2019-02-19,TECHCO,152.06,152.55,151.17,151.58,1105175,157.726,,,-0.001515,0.015964,27.76,-1.3975,-0.7217,157.726,166.0405,149.4115,247833.0
2019-02-20,TECHCO,154.77,155.75,154.58,154.78,2375897,157.4205,,,0.021111,0.016831,38.87,-1.3043,-0.8382,157.4205,165.6944,149.1466,253065.0
2019-02-21,TECHCO,156.29,156.38,155.22,155.79,4255167,157.1955,,,0.006525,0.016925,46.63,-1.1398,-0.8986,157.1955,165.3852,149.0058,254717.0
2019-02-22,TECHCO,155.31,157.71,155.03,155.52,2908377,156.8165,,,-0.001733,0.016335,40.09,-1.0185,-0.9226,156.8165,164.5442,149.0888,254275.0
2019-02-25,TECHCO,156.26,156.77,155.93,156.13,3001341,156.5715,,,0.003922,0.016198,45.61,-0.8653,-0.9111,156.5715,164.0432,149.0998,255273.0
2019-02-26,TECHCO,160.08,161.0,158.16,158.93,1210329,156.431,,,0.017934,0.016728,53.15,-0.5208,-0.833,156.431,163.5928,149.2692,259851.0
2019-02-27,TECHCO,156.75,159.29,156.37,159.06,2538862,156.088,,,0.000818,0.015528,63.42,-0.2352,-0.7135,156.088,161.8581,150.3179,260063.0
2019-02-28,TECHCO,159.89,161.87,158.2,160.84,2536609,156.043,,,0.011191,0.01478,68.63,0.1283,-0.5451,156.043,161.6389,150.4471,262973.0
2019-03-01,TECHCO,160.59,161.13,158.64,159.85,2173243,156.151,,,-0.006155,0.013669,62.88,0.335,-0.3691,156.151,161.9601,150.3419,261355.0
2019-03-04,TECHCO,159.61,160.89,159.27,160.06,1152799,156.1245,,,0.001314,0.013029,59.57,0.5092,-0.1934,156.1245,161.8526,150.3964,261698.0
